Date,Close,High,Low,Open,Volume,return,volatility,regime
2010-05-11,1935.25,1965.0,1915.0,1939.75,373205,-0.0021912864140242183,0.02547644359111698,2
2010-05-12,1972.75,1976.25,1917.0,1934.75,323983,0.019377341428755912,0.026487339093210226,2
2010-05-13,1947.25,1981.5,1938.5,1970.0,329770,-0.012926118362691641,0.025855272883102104,2
2010-05-14,1909.75,1950.5,1883.0,1945.0,449745,-0.019257927846963674,0.025749276943276507,2
2010-05-17,1913.5,1919.5,1870.5,1907.75,363023,0.00196360780206839,0.025051964399014026,2
2010-05-18,1888.0,1932.0,1876.75,1912.25,405003,-0.013326365299189957,0.02395159581540229,2
2010-05-19,1868.25,1893.75,1849.5,1886.25,435357,-0.010460805084745783,0.024037782153107302,2
2010-05-20,1800.5,1875.0,1794.0,1867.75,575943,-0.036263883313261025,0.02392515474424022,2
2010-05-21,1819.25,1834.0,1765.5,1800.0,514060,0.010413773951680083,0.023659769086910875,2
2010-05-24,1812.5,1840.0,1796.0,1821.25,319255,-0.0037103201868902147,0.01565509237111429,2
2010-05-25,1815.5,1819.5,1754.25,1809.75,425513,0.0016551724137932045,0.015822848115960072,2
2010-05-26,1791.5,1849.75,1788.75,1814.5,391061,-0.013219498760671966,0.013074950564890343,2
2010-05-27,1863.75,1864.5,1781.75,1788.25,326868,0.04032933296120578,0.02035138173154895,2
2010-05-28,1852.0,1874.25,1835.5,1862.25,315745,-0.006304493628437324,0.019686990411324497,2
2010-06-01,1831.0,1878.0,1824.25,1852.0,368555,-0.011339092872570178,0.019771666970252656,2
2010-06-02,1879.0,1879.25,1828.5,1832.0,307154,0.026215182960131145,0.021616602261891035,2
2010-06-03,1897.75,1899.25,1871.0,1877.0,285099,0.00997871208089407,0.021511859313940392,2
2010-06-04,1834.25,1904.5,1824.25,1897.5,426018,-0.03346067711763934,0.02097259742016253,2
2010-06-07,1795.75,1845.5,1793.75,1831.75,334305,-0.020989505247376306,0.02191210454528087,2
2010-06-08,1791.5,1817.75,1770.0,1795.0,409445,-0.0023666991507726998,0.021898329596487544,2
2010-06-09,1782.25,1823.5,1773.75,1791.75,361910,-0.005163271001953684,0.021914340885941404,2
2010-06-10,1822.5,1831.75,1775.25,1780.5,231353,0.022583812596437047,0.02272075125900482,2
2010-06-11,1844.0,1848.75,1807.75,1821.25,101875,0.011796982167352477,0.018822498080757092,2
2010-06-14,1847.75,1877.75,1844.0,1848.0,97309,0.0020336225596528923,0.0187412346130604,2
2010-06-15,1894.5,1899.0,1846.25,1847.25,76687,0.02530104180760384,0.01984280544736634,2
2010-06-16,1907.0,1913.5,1880.0,1894.5,79007,0.006598046978094407,0.018264760128583676,2
2010-06-17,1910.5,1918.75,1894.0,1906.75,41809,0.0018353434714211136,0.018031276966354,2
2010-06-18,1912.969970703125,1915.75,1906.25,1910.75,246943,0.0012928399388250078,0.013460387058794522,1
2010-06-21,1899.5,1941.0,1883.75,1923.0,328037,-0.007041391610645098,0.0110577688719058,1
2010-06-22,1878.25,1916.75,1876.5,1899.0,335379,-0.011187154514345932,0.012076440918364087,1
2010-06-23,1873.75,1890.0,1857.75,1878.75,321722,-0.002395847198189749,0.011852256269371983,1
2010-06-24,1849.5,1875.25,1837.25,1870.0,339934,-0.01294196130753833,0.011336304870422836,1
2010-06-25,1839.25,1856.5,1827.25,1846.0,323580,-0.005542038388753667,0.010909300388860165,1
2010-06-28,1836.0,1851.5,1821.25,1839.0,280729,-0.001767024602419509,0.010888839415871042,1
2010-06-29,1763.5,1839.5,1748.0,1835.5,477966,-0.039488017429193945,0.012869951353596613,2
2010-06-30,1738.0,1777.5,1733.0,1764.0,370543,-0.01445988091862771,0.012085052740187716,2
2010-07-01,1728.0,1745.75,1698.0,1736.25,505855,-0.005753739930955071,0.011543337254437085,2
2010-07-02,1721.25,1745.75,1710.25,1728.75,317947,-0.00390625,0.01108995792700508,2
2010-07-06,1734.5,1762.5,1705.75,1722.0,359579,0.007697893972403724,0.012484826702472472,2
2010-07-07,1789.5,1789.5,1721.75,1734.75,304126,0.03170942634765073,0.017854672694371677,2
2010-07-08,1798.0,1803.25,1774.5,1788.5,310109,0.004749930148086001,0.018097795589375108,2
2010-07-09,1811.5,1815.25,1789.25,1796.75,207835,0.007508342602892126,0.018126755581135405,2
2010-07-12,1820.25,1829.75,1801.25,1810.0,238450,0.004830251173060907,0.018193430564173163,2
2010-07-13,1842.5,1849.5,1818.0,1819.0,310229,0.012223595659936803,0.01865050832234594,2
2010-07-14,1851.25,1866.25,1838.0,1860.0,336833,0.004748982360922582,0.012260629413040871,1
2010-07-15,1849.25,1864.5,1828.5,1850.25,366657,-0.001080351114112088,0.010514714769264286,1
2010-07-16,1802.0,1856.0,1800.0,1849.5,397734,-0.02555089901311347,0.01423591220622227,1
2010-07-19,1805.5,1821.25,1782.5,1800.5,301727,0.0019422863485016872,0.013979458361884956,1
2010-07-20,1839.75,1841.25,1781.75,1805.25,350306,0.01896981445582946,0.014669508584924522,0
2010-07-21,1815.5,1860.0,1811.0,1839.75,401877,-0.013181138741676812,0.012660686404962115,1
2010-07-22,1852.75,1869.25,1812.5,1815.5,349001,0.020517763701459746,0.014017372228155358,0
2010-07-23,1873.75,1876.25,1844.25,1850.5,326684,0.011334502766158439,0.014202287452907775,1
2010-07-26,1887.5,1888.25,1866.0,1874.25,254147,0.007338225483655814,0.014250930263867301,1
2010-07-27,1886.5,1900.75,1878.25,1887.5,270426,-0.0005298013245033095,0.013973967923226938,1
2010-07-28,1869.75,1894.75,1864.75,1885.75,253384,-0.008878876225814958,0.01438346990523574,1
2010-07-29,1857.25,1886.5,1838.5,1870.25,384506,-0.006685385746757588,0.014585158772447676,1
2010-07-30,1862.25,1873.5,1831.5,1857.0,355325,0.0026921523758245414,0.011349836569306385,1
2010-08-02,1894.25,1901.75,1864.5,1868.75,244657,0.017183514565713542,0.012135643108723846,0
2010-08-03,1893.0,1898.25,1879.75,1893.75,215692,-0.0006598917777485003,0.011150214179587637,1
2010-08-04,1905.25,1910.0,1883.25,1892.5,276207,0.006471209720021021,0.009626118258705465,1
2010-08-05,1901.0,1912.75,1891.0,1906.25,224033,-0.0022306783886628656,0.008083981713877595,1
2010-08-06,1902.5,1907.75,1871.25,1902.5,373034,0.0007890583903209514,0.007484041779960139,1
2010-08-09,1913.75,1918.0,1898.5,1903.0,184344,0.005913272010512394,0.0073743284947678425,1
2010-08-10,1896.5,1914.0,1880.75,1914.0,344656,-0.009013716525146931,0.008076438510514256,1
2010-08-11,1837.75,1898.0,1837.0,1897.0,407601,-0.030978117585025,0.012665337972932211,1
2010-08-12,1827.25,1838.25,1806.25,1837.25,349332,-0.005713508366208653,0.012626089488078007,1
2010-08-13,1815.25,1842.75,1815.25,1830.0,239248,-0.0065672458612668905,0.012619561457498362,1
2010-08-16,1820.0,1833.25,1800.0,1817.75,286982,0.002616719460129424,0.01080825709055031,1
2010-08-17,1839.5,1860.5,1817.0,1819.25,271497,0.010714285714285676,0.01174902326914999,0
2010-08-18,1836.75,1862.25,1831.0,1840.0,298743,-0.00149497145963573,0.011312528613265167,1
2010-08-19,1820.0,1850.5,1810.25,1838.75,346596,-0.009119368449707399,0.011429256167949459,1
2010-08-20,1825.5,1829.75,1808.5,1820.0,264182,0.0030219780219780112,0.01156046875087727,1
2010-08-23,1809.5,1842.75,1804.75,1824.75,275129,-0.008764721993974267,0.011074812040309932,1
2010-08-24,1773.75,1810.25,1766.0,1809.25,317739,-0.019756838905775065,0.011937760892549606,1
2010-08-25,1789.75,1798.5,1756.75,1773.75,354186,0.009020436927413611,0.009265482634039035,0
2010-08-26,1767.5,1802.75,1765.0,1790.0,325465,-0.012431903897192398,0.009747040224101515,1
2010-08-27,1789.25,1794.5,1744.0,1766.0,391994,0.012305516265912253,0.010808343110570452,0
2010-08-30,1768.75,1805.5,1768.25,1790.75,255852,-0.011457314517255845,0.011140033104967906,1
2010-08-31,1766.5,1781.75,1754.5,1768.5,360795,-0.0012720848056536616,0.010123258534668776,1
2010-09-01,1820.0,1825.0,1770.5,1773.25,389294,0.03028587602604027,0.014870719701027912,0
2010-09-02,1837.25,1841.25,1813.0,1820.5,250865,0.009478021978021944,0.014879929605055919,1
2010-09-03,1867.0,1871.25,1834.5,1838.75,306188,0.016192679276092026,0.01563814127396457,0
2010-09-07,1857.5,1878.0,1853.75,1867.5,271396,-0.005088377075522232,0.015388779239288837,1
2010-09-08,1877.5,1888.0,1852.25,1857.25,308420,0.010767160161507361,0.01332184401751635,0
2010-09-09,1885.75,1897.75,1874.75,1878.25,235345,0.004394141145139807,0.013277063237145548,1
2010-09-10,1892.25,1896.75,1880.0,1886.75,125668,0.0034469044146892003,0.011784037649324794,1
2010-09-13,1919.25,1925.25,1896.5,1896.5,107079,0.014268727705113005,0.011899787062345362,0
2010-09-14,1925.25,1938.75,1912.5,1919.25,93461,0.003126221180148603,0.010135457789729397,1
2010-09-15,1942.25,1943.0,1916.75,1925.75,82316,0.008830022075055233,0.009532090713393946,0
2010-09-16,1952.5,1955.5,1932.0,1943.75,58242,0.005277384476766622,0.006186816006029548,1
2010-09-17,1959.8299560546875,1973.0,1955.0,1955.5,305013,0.0037541388244237694,0.006203960809978114,1
2010-09-20,1981.75,1990.75,1947.25,1950.5,284093,0.011184666239840269,0.0054960709891923405,1
2010-09-21,1985.5,2000.25,1977.0,1982.0,319921,0.0018922669357890332,0.004229053699194064,0
2010-09-22,1979.5,1994.75,1970.5,1985.5,336151,-0.003021908839083376,0.004941468170726861,1
2010-09-23,1981.5,2000.25,1962.5,1979.5,378087,0.0010103561505430125,0.005124035757569751,1
2010-09-24,2018.25,2022.0,1978.75,1982.75,304445,0.018546555639666895,0.006627359704635443,1
2010-09-27,2007.25,2032.0,2007.75,2018.75,233636,-0.005450266319831587,0.006978936947361445,1
2010-09-28,2008.5,2024.5,1977.25,2008.0,440359,0.0006227425582263635,0.007078480587811954,1
2010-09-29,2009.0,2018.5,1998.5,2009.75,274660,0.00024894199651481763,0.006983017903055193,1
2010-09-30,1995.5,2028.25,1983.25,2009.5,444527,-0.006719761075161812,0.007626782941040479,1
2010-10-01,1994.5,2015.5,1985.0,1995.75,321294,-0.0005011275369581902,0.00764953171556606,1
